"Bulk update",image_target_id,ID,"Asset name","Asset type",Flags,Parents,Group,Location,Status
,,200,"Quinta Vale da Lama",Land,,,,,Active
,,168,18U,Land,,"Quinta Vale da Lama",,,Active
,,169,23V,Land,,"Quinta Vale da Lama",,,Active
,,170,19U,Land,,"Quinta Vale da Lama",,,Active
,,171,20U,Land,,"Quinta Vale da Lama",,,Active
,,172,23U,Land,,"Quinta Vale da Lama",,,Active
,,173,28V,Land,,"Quinta Vale da Lama",,,Active
,,174,29Va,Land,,"Quinta Vale da Lama",,,Active
,,175,29Vb,Land,,"Quinta Vale da Lama",,,Active
,,176,30V,Land,,"Quinta Vale da Lama",,,Active
,,177,31V,Land,,"Quinta Vale da Lama",,,Active
,,178,RedeAgricolaNacional,Land,,"Quinta Vale da Lama",,,Active
,,179,RedeEcologicoNacional,Land,,"Quinta Vale da Lama",,,Active
,,180,RedeNatura2000,Land,,"Quinta Vale da Lama",,,Active
,,181,OOT-OrangeOrchardTerraces,Land,,23V,,,Active
,,182,OOT-East,Land,"Flags
          
              Monitor",OOT-OrangeOrchardTerraces,,,Active
,,183,OOT-West,Land,,OOT-OrangeOrchardTerraces,,,Active
,,184,OOT-Ctr,Land,,OOT-OrangeOrchardTerraces,,,Active
,,185,FigOrchard,Land,,18U,,,Active
,,186,VineYard,Land,,18U,,,Active
,,187,EiraField,Land,,18U,,,Active
,,188,NoraField,Land,,18U,,,Active
,,189,HortasDoVale-East,Land,,19U,,,Active
,,190,LamaGardensSouthCenter,Land,,18U,,,Active
,,191,HortasDoVale-West,Land,,19U,,,Active
,,192,CarobOrchard,Land,,23V,,,Active
,,193,WaltsMilpasTestPlot,Land,,W&NhomeGarden,,,Active
,,194,PastoralLowLands,Land,,18U,,,Active
,,195,"bed N° 7",Land,,HortasDoVale-West,,,Active
,,196,"bed N° 13",Land,,HortasDoVale-West,,,Active
,,197,"bed N° 10",Land,,HortasDoVale-West,,,Active
,,198,"Paddock NS-01",Land,"Flags
          
              Monitor",23V,,,Active
,,199,W&NhomeGarden,Land,,29Vb,,,Active
,,204,Nursery,Structure,,HortasDoVale-West,,,Active
,,201,nurse,Land,,,,,Active
,,202,Greenhouse,Land,,,,,Active
,,203,"SGH 1-2",Land,,,,,Active
,,1,"CarobOrchard trees",Plant,,,,,Active
,,3,"2019 WaltsMilpasTestPlot Corn/Beans/Squash",Plant,,,,WaltsMilpasTestPlot,Active
,,4,"2019 PastoralLowLands OrganicPastureMix (from FertiPrado)",Plant,,,,PastoralLowLands,Active
,,5,"2019 NoraField Napier Grasx, Sugarcane, Swiss Chard, Madeira Banana",Plant,,,,NoraField,Active
,,7,"2010  MixedWineGrapes",Plant,,,,,Active
